gene_name,operation
YMR170C,OE
YOR374W,OE
YGL008C,OE
YPL036W,OE
YER073W,OE
YER005W,OE
YEL017C-A,OE
YOR143C,OE
YCR024C-A,OE
YMR110C,OE
YPR069C,OE
YHR137W,OE
YMR009W,OE
YDR441C,OE
YPR118W,OE
YOL052C,OE
YML022W,OE
YJR024C,OE
YEL038W,OE
YLR017W,OE
YKL184W,OE
YOR136W,OE
YNL037C,OE
YKL029C,OE
YLR180W,OE
YDR502C,OE
YOL061W,OE
YKL181W,OE
YBL068W,OE
YHL011C,OE
YER099C,OE
YER069W,OE
YOL140W,OE
YMR062C,OE
YLR174W,OE
YOL126C,OE
YDR300C,OE
YOR323C,OE
YOR095C,OE
YPR001W,OE
YNR001C,OE
YKL085W,OE
YDR516C,OE
YGR256W,OE
YNL241C,OE
YGR248W,OE
YHR183W,OE
YHR163W,OE
YBR218C,OE
YGL062W,OE
YNL036W,OE
YGR193C,OE
YNL071W,OE
YBR221C,OE
YER178W,OE
YDR226W,OE
YOR375C,OE
YAL062W,OE
YOR347C,OE
YAL038W,OE
YML120C,OE
YOR283W,OE
YGR254W,OE
YHR174W,OE
YPL281C,OE
YOR393W,OE
YMR323W,OE
YKL152C,OE
YCR048W,KO
YNR019W,KO
YOR245C,KO
YMR165C,KO
YBR006W,KO
YNL277W,KO
YLR446W,KO
YPR121W,KO
YCL040W,KO
YGR019W,KO
YLR438W,KO
YOL055C,KO
YPL258C,KO
YPL214C,KO
YPL061W,KO
YFR053C,KO
YMR267W,KO
YGL253W,KO
