gene_name,operation
YLL051C,KD
YGR180C,OE
YDR017C,OE
YJL126W,KD
YDR371W,OE
YGR088W,OE
YKL211C,OE
YDR368W,OE
YDR044W,OE
YKL060C,KD
YDR380W,KD
YDR272W,KD
YNL045W,KD
YMR322C,OE
YOR381W,OE
YMR105C,OE
YOR095C,OE
YMR120C,OE
YBR046C,KD
YOR278W,OE
YCR105W,OE
YMR087W,OE
YGL169W,KD
YFR044C,KD
YNR050C,KD
YGL202W,KD
YOR375C,OE
YOR384W,OE
YJL026W,OE
YBR244W,OE
YGR209C,OE
YHR201C,OE
YKL127W,OE
YNL335W,OE
YER070W,OE
YEL039C,KD
YLR354C,OE
YOR120W,KD
YFL061W,OE
YMR015C,KD
YDR127W,KD
YDL024C,KD
YNL229C,OE
YOR323C,KD
YGL009C,KD
YNL036W,KD
YDL219W,KD
YLR410W,KD
YPL212C,OE
YNL333W,OE
YLR351C,KD
YCR036W,OE
YCL035C,OE
YJL068C,KD
YHR144C,KD
YPL281C,OE
YOL151W,KD
YLR100W,KD
YPL231W,KD
YJR048W,KD
YDR051C,OE
YMR110C,KD
YLR420W,KD
YOL143C,OE
YOL152W,OE
YLR056W,KD
YEL071W,OE
YBR166C,KD
YBR022W,OE
YOL157C,KD
YGR254W,OE
YOL049W,OE
YHR007C,KD
YLR047C,OE
YMR251W,OE
YGR060W,KD
YBR117C,KD
YMR318C,OE
YDL174C,KD
YFL059W,OE
YML082W,OE
YDR452W,KD
YDR533C,OE
YEL031W,KD
YHR104W,KD
YLR286C,OE
YFL001W,OE
YHR044C,OE
YDR242W,KD
YDR403W,KD
YLL015W,OE
YGL154C,KD
YJL121C,OE
YEL041W,OE
YGL125W,OE
YML075C,OE
YLR058C,KD
YLR450W,OE
YNL316C,KD
YOR202W,OE
YGR155W,OE
YLR011W,KD
YOR236W,KD
YBR249C,KD
YBR153W,KD
YNL334C,OE
YHR174W,OE
YGR248W,KD
YGR194C,OE
YBR111C,KD
YFL060C,OE
YPR060C,OE
YDR305C,KD
YOL086C,KD
YDR248C,OE
YHR137W,KD
YHR063C,KD
YDL168W,KD
YDR035W,KD
YOL075C,OE
YPL262W,KD
YDR158W,KD
YBR145W,KD
YGR204W,KD
YDL236W,KD
YBR149W,KD
YNL292W,OE
YPR127W,KD
YML004C,OE
YJR139C,KD
YLR043C,OE
