Reaction,Gene,Flux
draw_prot_P05374,YGR157W,Zero
draw_prot_P06174,YOR278W,Zero
draw_prot_P14843,YDR035W,Zero
draw_prot_P17505,YKL085W,Zero
draw_prot_P28240,YER065C,Zero
draw_prot_P32327,YBR218C,Zero
draw_prot_P32771,YDL168W,Zero
draw_prot_P33333,YDL052C,Zero
draw_prot_P36165,YKR089C,Zero
draw_prot_P38113,YBR145W,Zero
draw_prot_P38139,YBR204C,Zero
draw_prot_P40308,YMR313C,Zero
draw_prot_P40353,YOR377W,Zero
draw_prot_P43567,YFL030W,Zero
draw_prot_P43635,YPR001W,Zero
draw_prot_P52489,YOR347C,Zero
draw_prot_P53296,YGR177C,Zero
draw_prot_P53629,YNR019W,Zero
draw_prot_Q08650,YOR245C,Zero
draw_prot_Q12043,YOR081C,Zero
draw_prot_P00330,YOL086C,Non-Zero
draw_prot_P00549,YAL038W,Non-Zero
draw_prot_P00890,YNR001C,Non-Zero
draw_prot_P05375,YJR073C,Non-Zero
draw_prot_P08417,YPL262W,Non-Zero
draw_prot_P08456,YER026C,Non-Zero
draw_prot_P08566,YDR127W,Non-Zero
draw_prot_P09624,YFL018C,Non-Zero
draw_prot_P11154,YGL062W,Non-Zero
draw_prot_P12695,YNL071W,Non-Zero
draw_prot_P12709,YBR196C,Non-Zero
draw_prot_P16387,YER178W,Non-Zero
draw_prot_P16451,YGR193C,Non-Zero
draw_prot_P19414,YLR304C,Non-Zero
draw_prot_P21375,YJR051W,Non-Zero
draw_prot_P22133,YOL126C,Non-Zero
draw_prot_P25628,YCR048W,Non-Zero
draw_prot_P28777,YGL148W,Non-Zero
draw_prot_P32178,YPR060C,Non-Zero
draw_prot_P32340,YML120C,Non-Zero
draw_prot_P32449,YBR249C,Non-Zero
draw_prot_P32452,YNL316C,Non-Zero
draw_prot_P32473,YBR221C,Non-Zero
draw_prot_P36013,YKL029C,Non-Zero
draw_prot_P38221,YBR029C,Non-Zero
draw_prot_P38840,YHR137W,Non-Zero
draw_prot_P39006,YNL169C,Non-Zero
draw_prot_P41939,YLR174W,Non-Zero
draw_prot_P46969,YJL121C,Non-Zero
draw_prot_P53090,YGL202W,Non-Zero
draw_prot_Q06408,YDR380W,Non-Zero
draw_prot_Q08548,YOR175C,Non-Zero
