Reaction,Gene,Flux
draw_prot_P00925,YHR174W,Zero
draw_prot_P00950,YKL152C,Zero
draw_prot_P04806,YFR053C,Zero
draw_prot_P04807,YGL253W,Zero
draw_prot_P05030,YGL008C,Zero
draw_prot_P07170,YDR226W,Zero
draw_prot_P07991,YLR438W,Zero
draw_prot_P0CX10,YOR393W,Zero
draw_prot_P0CX11,YPL281C,Zero
draw_prot_P17709,YCL040W,Zero
draw_prot_P19358,YDR502C,Zero
draw_prot_P19657,YPL036W,Zero
draw_prot_P28239,YMR267W,Zero
draw_prot_P28241,YOR136W,Zero
draw_prot_P28834,YNL037C,Zero
draw_prot_P32327,YBR218C,Zero
draw_prot_P32567,YMR165C,Zero
draw_prot_P32903,YCR024C-A,Zero
draw_prot_P35202,YOR143C,Zero
draw_prot_P36973,YDR441C,Zero
draw_prot_P38063,YBL068W,Zero
draw_prot_P38689,YHL011C,Zero
draw_prot_P39708,YAL062W,Zero
draw_prot_P40009,YER005W,Zero
draw_prot_P40047,YER073W,Zero
draw_prot_P40975,YEL017C-A,Zero
draw_prot_P42222,YMR323W,Zero
draw_prot_P43635,YPR001W,Zero
draw_prot_P46367,YOR374W,Zero
draw_prot_P47771,YMR170C,Zero
draw_prot_P49435,YML022W,Zero
draw_prot_P52489,YOR347C,Zero
draw_prot_P53315,YGR248W,Zero
draw_prot_P53319,YGR256W,Zero
draw_prot_P53615,YNL036W,Zero
draw_prot_P53629,YNR019W,Zero
draw_prot_Q04458,YMR110C,Zero
draw_prot_Q06204,YLR446W,Zero
draw_prot_Q06490,YPR121W,Zero
draw_prot_Q08650,YOR245C,Zero
draw_prot_Q08975,YPL258C,Zero
draw_prot_Q12265,YOL061W,Zero
draw_prot_P00549,YAL038W,Non-Zero
draw_prot_P00890,YNR001C,Non-Zero
draw_prot_P00924,YGR254W,Non-Zero
draw_prot_P07262,YOR375C,Non-Zero
draw_prot_P08432,YKL184W,Non-Zero
draw_prot_P08465,YNL277W,Non-Zero
draw_prot_P10659,YLR180W,Non-Zero
draw_prot_P11154,YGL062W,Non-Zero
draw_prot_P11412,YNL241C,Non-Zero
draw_prot_P12695,YNL071W,Non-Zero
draw_prot_P16387,YER178W,Non-Zero
draw_prot_P16451,YGR193C,Non-Zero
draw_prot_P17505,YKL085W,Non-Zero
draw_prot_P17649,YGR019W,Non-Zero
draw_prot_P18544,YOL140W,Non-Zero
draw_prot_P21182,YOL052C,Non-Zero
draw_prot_P22133,YOL126C,Non-Zero
draw_prot_P25628,YCR048W,Non-Zero
draw_prot_P32264,YDR300C,Non-Zero
draw_prot_P32340,YML120C,Non-Zero
draw_prot_P32473,YBR221C,Non-Zero
draw_prot_P32626,YEL038W,Non-Zero
draw_prot_P32895,YKL181W,Non-Zero
draw_prot_P36013,YKL029C,Non-Zero
draw_prot_P38067,YBR006W,Non-Zero
draw_prot_P38620,YER099C,Non-Zero
draw_prot_P38720,YHR183W,Non-Zero
draw_prot_P38840,YHR137W,Non-Zero
draw_prot_P38858,YHR163W,Non-Zero
draw_prot_P41835,YPL214C,Non-Zero
draw_prot_P41939,YLR174W,Non-Zero
draw_prot_P47095,YJR024C,Non-Zero
draw_prot_P54115,YPL061W,Non-Zero
draw_prot_P54885,YOR323C,Non-Zero
draw_prot_Q01217,YER069W,Non-Zero
draw_prot_Q03677,YMR009W,Non-Zero
draw_prot_Q04409,YDR516C,Non-Zero
draw_prot_Q04728,YMR062C,Non-Zero
draw_prot_Q06489,YPR118W,Non-Zero
draw_prot_Q07938,YLR017W,Non-Zero
draw_prot_Q08224,YOL055C,Non-Zero
draw_prot_Q12040,YOR283W,Non-Zero
draw_prot_Q12074,YPR069C,Non-Zero
draw_prot_Q12189,YOR095C,Non-Zero
