Reaction,Gene,Flux
draw_prot_P00887,b1704,Zero
draw_prot_P00888,b2601,Zero
draw_prot_P06999,b1723,Zero
draw_prot_P0A6D7,b3390,Zero
draw_prot_P0A796,b3916,Zero
draw_prot_P0A7A9,b4226,Zero
draw_prot_P0A867,b2464,Zero
draw_prot_P0A870,b0008,Zero
draw_prot_P0A991,b2097,Zero
draw_prot_P0AB71,b2925,Zero
draw_prot_P0ABQ2,b3125,Zero
draw_prot_P0AFL6,b2502,Zero
draw_prot_P19642,b1621,Zero
draw_prot_P30147,b0508,Zero
draw_prot_P32669,b3946,Zero
draw_prot_P33570,b2465,Zero
draw_prot_P37666,b3553,Zero
draw_prot_P69783,b2417,Zero
draw_prot_P69786,b1101,Zero
draw_prot_P69797,b1817,Zero
draw_prot_P69801,b1818,Zero
draw_prot_P69805,b1819,Zero
draw_prot_P75913,b1033,Zero
draw_prot_P77161,b0509,Zero
draw_prot_P00350,b2029,Non-Zero
draw_prot_P05194,b1693,Non-Zero
draw_prot_P07014,b0724,Non-Zero
draw_prot_P07639,b3389,Non-Zero
draw_prot_P0A6D3,b0908,Non-Zero
draw_prot_P0A6E1,b0388,Non-Zero
draw_prot_P0A6K6,b4383,Non-Zero
draw_prot_P0A6T1,b4025,Non-Zero
draw_prot_P0A836,b0728,Non-Zero
draw_prot_P0A840,b2744,Non-Zero
draw_prot_P0A858,b3919,Non-Zero
draw_prot_P0A9C5,b3870,Non-Zero
draw_prot_P0A9P0,b0116,Non-Zero
draw_prot_P0AB91,b0754,Non-Zero
draw_prot_P0AC41,b0723,Non-Zero
draw_prot_P0AC44,b0722,Non-Zero
draw_prot_P0AC53,b1852,Non-Zero
draw_prot_P0AFG3,b0726,Non-Zero
draw_prot_P0AFG6,b0727,Non-Zero
draw_prot_P0AG07,b3386,Non-Zero
draw_prot_P0AGE9,b0729,Non-Zero
draw_prot_P12008,b2329,Non-Zero
draw_prot_P15770,b3281,Non-Zero
draw_prot_P16690,b4094,Non-Zero
draw_prot_P25535,b2906,Non-Zero
draw_prot_P27302,b2935,Non-Zero
draw_prot_P32131,b3867,Non-Zero
draw_prot_P37349,b1198,Non-Zero
draw_prot_P52697,b0767,Non-Zero
draw_prot_P69054,b0721,Non-Zero
draw_prot_P76014,b1199,Non-Zero
draw_prot_P76015,b1200,Non-Zero
draw_prot_P78055,b0825,Non-Zero
