Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50,Gene_51,Gene_52,Best Fitness
3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,3,0,0,0,1,3,3,1,3,0,0,0.170647422
3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,2,0,0,3,3,0,0,1,3,0,1,3,0,0,0.170370777
3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,3,0,0,2,1,3,0,1,0,0,0,0.170512704
3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,2,0,3,0,2,0,3,3,0,0,0,0,0,0.171105274
3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,0,0,0,1,3,0,0,0,0,0,0.170454966
3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,0,0,0,1,3,0,0,0,0,0,0.170454966
3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,3,0,0,0,1,3,0,1,0,0,0,0.170341481
3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,0,0,0,1,3,0,0,0,0,0,0.170454966
3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,0,0,0,1,3,0,0,0,0,0,0.170454966
3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,1,3,0,0,0,0,3,0,1,0,0,0,0.170428044
YOL086C,YDL168W,YBR145W,YDR380W,YNL316C,YPR060C,YBR249C,YDR127W,YGL148W,YDR035W,YBR196C,YBR029C,YFL018C,YER026C,YNL169C,YOR175C,YGL062W,YBR218C,YOR347C,YAL038W,YML120C,YDL052C,YGL202W,YJR073C,YGR157W,YOL126C,YGR193C,YBR221C,YER178W,YNL071W,YCR048W,YNR001C,YKL085W,YPR001W,YNR019W,YHR137W,YPL262W,YJR051W,YLR304C,YFL030W,YER065C,YJL121C,YOR278W,YOR245C,YLR174W,YBR204C,YKL029C,YOR081C,YMR313C,YKR089C,YOR377W,YGR177C,
1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1.0
