Strategy_ID,Original_Edits,Minimal_Edits,Reduced_By,Original_Fitness,Minimal_Fitness,Fitness_Ratio
1,10,5,5,0.043073376,0.042355332,0.983329741
2,8,6,2,0.050048245,0.049903929,0.997116472
3,8,6,2,0.044684597,0.0001,0.002237908
4,11,5,6,0.044169502,0.04235533,0.958927042
5,11,6,5,0.043575874,0.044145057,1.01306189
6,6,6,0,0.042203973,0.042203973,1
7,14,4,10,0.044672645,0.0001,0.002238506
8,9,6,3,0.048247206,0.049332208,1.022488397
9,10,5,5,0.041379813,0.0001,0.002416637
10,9,6,3,0.045764166,0.045764621,1.000009933
11,10,6,4,0.048623457,0.046980472,0.966210035
12,6,5,1,0.049621616,0.049340312,0.994331003
13,9,4,5,0.044226105,0.025595973,0.578752589
14,10,5,5,0.042372188,0.044582688,1.052168661
15,10,7,3,0.045420058,0.0001,0.00220167
16,13,4,9,0.047429471,0.013581258,0.286346389
17,7,5,2,0.041866897,0.0001,0.002388522
18,7,5,2,0.041565163,0.0001,0.002405861
19,7,6,1,0.044145134,0.044145134,1.000000001
20,8,5,3,0.044466896,0.044466836,0.999998641
