Abbreviation,Description,Reaction,GPR,Lower bound,Upper bound,Objective,Subsystem,References
r_0006,"1,6-beta-glucan synthase",s_1543  -> s_0004 + s_0794 + s_1538 ,YGR143W or YPR159W,0,Inf,0,,8321211
r_0070,4-hydroxybenzoate formation,s_0290 + s_0807  -> s_0287 + s_0532 + s_0799 ,,0,Inf,0,,11583838
r_0094,8-amino-7-oxononanoate synthase,s_0955 + s_1368  -> s_0352 + s_0456 + s_0529 + 4 s_0794 ,YAR069W-A or YHR214W-F,0,Inf,0,,16269718
r_0099,acetyl-CoA ACP transacylase,s_0376 + s_1845  -> s_0372 + s_0532 ,YKL192C,0,Inf,0,sce00190  Oxidative phosphorylation,15387819
r_0200,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),s_0418 + s_0803 + s_1275  -> s_0419 + s_0837 + s_1151 ,,0,Inf,0,,3086094
r_0461,geranylgeranyltranstransferase,s_0189 + s_0943  -> s_0633 + s_1311 ,,0,Inf,0,,15792955
r_0465,glucosamine-6-phosphate deaminase,s_0412 + s_0803  -> s_0419 + s_0557 ,,0,Inf,0,,369615
r_0484,"glutathione peroxidase, mitochondria",2 s_0752 + s_0838  -> s_0756 + 2 s_0807 ,YPL059W,0,Inf,0,,12138088
r_0500,glycine C-acetyltransferase,s_0529 + s_0952  -> s_0373 + s_1003 ,,0,Inf,0,,3086094
r_0695,L-tyrosine N-formyltransferase,s_0120 + s_1051  -> s_0794 + s_1196 + s_1487 ,YDR403W,0,Inf,0,,8706696
r_0970,ribonucleoside-triphosphate reductase (ATP),s_0434 + s_1616  -> s_0586 + s_0803 + s_1620 ,YGR209C,0,Inf,0,,
r_0971,ribonucleoside-triphosphate reductase (CTP),s_0539 + s_1616  -> s_0590 + s_0803 + s_1620 ,YGR209C,0,Inf,0,,
r_0972,ribonucleoside-triphosphate reductase (GTP),s_0785 + s_1616  -> s_0617 + s_0803 + s_1620 ,YGR209C,0,Inf,0,,
r_0973,ribonucleoside-triphosphate reductase (UTP),s_1559 + s_1616  -> s_0656 + s_0803 + s_1620 ,YGR209C,0,Inf,0,,
r_1008,spontaneous cis-aconitate(3-) to trans-aconitate,s_0517  -> s_1504 ,,0,Inf,0,,11329290
r_1009,spontaneous cis-aconitate(3-) to trans-aconitate,s_0516  -> s_1503 ,,0,Inf,0,,11329290
r_2113,spontaneous kynurenic acid to quinaldic acid,s_2763  -> s_2764 ,,0,Inf,0,,18205391
r_2114,spontaneous 2-amino-3-carboxymuconate-6-semialdehyde to quinolinate,s_0147  -> s_0803 + s_1403 ,,0,Inf,0,,18205391
r_2213,"fatty-acid--CoA ligase (behenate), ER membrane",s_2785 + s_2831 + s_2868  -> s_2795 + s_2833 + s_2834 ,YBR041W,0,Inf,0,,22345606
r_2214,"fatty-acid--CoA ligase (lignoceric acid), ER membrane",s_2785 + s_2831 + s_2869  -> s_2797 + s_2833 + s_2834 ,YBR041W,0,Inf,0,,22345606
r_2215,"fatty-acid--CoA ligase (cerotic acid), ER membrane",s_2785 + s_2831 + s_2870  -> s_2816 + s_2833 + s_2834 ,YBR041W,0,Inf,0,,22345606
r_2216,"fatty-acid--CoA ligase (behenate), lipid particle",s_0531 + s_2840 + s_2871  -> s_0635 + s_2842 + s_2872 ,YBR041W,0,Inf,0,,22345606
r_2217,"fatty-acid--CoA ligase (lignoceric acid), lipid particle",s_0531 + s_2840 + s_2873  -> s_0635 + s_2842 + s_2874 ,YBR041W,0,Inf,0,,22345606
r_2218,"fatty-acid--CoA ligase (cerotic acid), lipid particle",s_0531 + s_2840 + s_2875  -> s_0635 + s_2842 + s_2876 ,YBR041W,0,Inf,0,,22345606
r_1028,taurcholate via ABC system,s_0434 + s_0803 + s_1473  -> s_0394 + s_0794 + s_1322 + s_1474 ,YLL048C,0,Inf,0,,9182565
r_1096,(R)-mevalonate transport,s_0029  -> s_0028 ,,0,Inf,0,,15215118
r_1097,"(R,R)-butanediol transport",s_0035  -> s_0036 ,,0,Inf,0,,10938079
r_1098,2-methylbutyl transport,s_0172  -> s_0173 ,,0,Inf,0,,10653746
r_1099,2-oxoadipate and 2-oxoglutarate transport,s_0177 + s_0180  -> s_0176 + s_0182 ,YOR222W or YPL134C,0,Inf,0,,16844075; 11013234
r_1100,"3-hexaprenyl-4,5-dihydroxybenzoate transport",s_0212  -> s_0213 ,,0,Inf,0,,11583838
r_1101,4-aminobutyrate transport,s_0736 + s_0796  -> s_0734 + s_0794 ,YDL210W or YOR348C,0,Inf,0,,
r_1102,5-aminolevulinate transport,s_0316 + s_0796  -> s_0315 + s_0794 ,YDL210W,0,Inf,0,,
r_1103,5-formyltetrahydrofolic acid transport,s_0320  -> s_0319 ,,0,Inf,0,,8573145
r_1104,8-Amino-7-oxononanoate transport,s_0354 + s_0796  -> s_0352 + s_0794 ,YNR056C,0,Inf,0,,10333520
r_1106,acetate transport,s_0362  -> s_0364 ,YCR010C,0,Inf,0,,14968426
r_1107,acetic ester transport,s_0685  -> s_0686 ,,0,Inf,0,,10653746
r_1108,adenine transport,s_0384 + s_0796  -> s_0383 + s_0794 ,YER056C or YER060W or YER060W-A or YGL186C,0,Inf,0,,
r_1109,adenosine transport,s_0387 + s_0796  -> s_0386 + s_0794 ,YAL022C,0,Inf,0,,10827169
r_1110,ADP/ATP transporter,s_0394 + s_0437  -> s_0397 + s_0434 ,YBL030C or YBR085W or YMR056C,0,Inf,0,,22672422; 7003152; 14998997
r_1111,ADP/ATP transporter,s_0399 + s_0434 + s_0801  -> s_0394 + s_0439 + s_0794 ,YPR128C,0,Inf,0,,
